Model Name,Num Classes,Total Texts,Total Words,Accuracy,Precision,F1 Score,Recall,Train Time,Validation Time,Date,Dataset
Random Forest,94,380952,31449420,0.508079758079758,0.5055869611022955,0.5012764169141742,0.508079758079758,2669.73739695549,4.688546895980835,2024-06-26,20000 texts
KNN,94,380952,31449420,0.4444811944811945,0.4997826393108425,0.46030681599337303,0.4444811944811945,0.08429622650146484,312.4080798625946,2024-06-26,20000 texts
LR,94,380952,31449420,0.5278775278775278,0.5252409601798727,0.524118329060365,0.5278775278775278,154.45408272743225,0.23214125633239746,2024-06-26,20000 texts
BERT,94,380952,31449420,0.5552353262901306,0.5679950830573168,0.5587880437053699,0.5552353052353053,23306.95037460327,637.7406380176544,2024-06-26,20000 texts
Naive Bayes,9,98522,7421719,0.9239060929935142,0.9266432720182352,0.9239210896426473,0.9239060929935142,0.039972782135009766,0.029279708862304688,2024-06-28,20000 texts down 2000
SVM,9,98522,7421719,0.963825705672787,0.963956628737674,0.9638702701927874,0.963825705672787,188.3688132762909,33.276172399520874,2024-06-28,20000 texts down 2000
Random Forest,9,98522,7421719,0.943272129350507,0.9432941132687505,0.9430188112101989,0.943272129350507,179.26528334617615,0.3761558532714844,2024-06-28,20000 texts down 2000
KNN,9,98522,7421719,0.9252763314149995,0.9293765115033171,0.9262526612508665,0.9252763314149995,0.025873899459838867,22.984511852264404,2024-06-28,20000 texts down 2000
LR,9,98522,7421719,0.9626381657074998,0.9626376643607362,0.962615097063164,0.9626381657074998,3.9284424781799316,0.032198429107666016,2024-06-28,20000 texts down 2000
XLNet,9,98522,7421719,0.7453183531761169,0.9108886643160499,0.7581971609884501,0.7453183520599251,8435.302131652832,13665.144699573517,2024-06-28,20000 texts down 2000
BERT,9,98522,7421719,0.9851101040840149,0.9852425094865616,0.9851219757934878,0.9851100758198593,5920.435667276382,159.712233543396,2024-06-29,20000 texts down 2000
BERT,23,210097,17121474,0.9647890329360962,0.9655899772449578,0.963664549667811,0.9647890340544014,12608.95860171318,334.32659697532654,2024-06-29,20000 texts down 2000
Naive Bayes,23,210097,17121474,0.8945812807881773,0.9019778016983949,0.8943079632389237,0.8945812807881773,0.1458747386932373,0.0675663948059082,2024-06-29,20000 texts down 2000
SVM,23,210097,17121474,0.9479974298565004,0.9482560501160283,0.9478570990097892,0.9479974298565004,810.2522411346436,229.4208972454071,2024-06-29,20000 texts down 2000
Random Forest,23,210097,17121474,0.9267509102591561,0.9282671374349233,0.9263350884688065,0.9267509102591561,720.2775390148163,1.097196340560913,2024-06-29,20000 texts down 2000
KNN,23,210097,17121474,0.814264296423217,0.9198629965404641,0.852969019386294,0.814264296423217,0.05567646026611328,101.03150296211243,2024-06-29,20000 texts down 2000
LR,23,210097,17121474,0.9445705718569287,0.9448438179571501,0.9443900874005997,0.9445705718569287,35.23147368431091,0.11087250709533691,2024-06-29,20000 texts down 2000
Naive Bayes,48,355911,28981037,0.8194507661963283,0.8300551879948806,0.8141034657211559,0.8194507661963283,0.3699071407318115,0.13605308532714844,2024-06-29,20000 texts down 2000
SVM,48,355911,28981037,0.8839579224194609,0.8849581250035418,0.8839762176480506,0.8839579224194609,2666.6501998901367,1222.3412618637085,2024-06-30,20000 texts down 2000
Random Forest,48,355911,28981037,0.8589490719668235,0.8584602674948361,0.8566887605386972,0.8589490719668235,2173.206949710846,3.0513713359832764,2024-06-30,20000 texts down 2000
KNN,48,355911,28981037,0.760026298487837,0.8352882146052203,0.7854254801450306,0.760026298487837,0.10281920433044434,263.6284456253052,2024-06-30,20000 texts down 2000
LR,48,355911,28981037,0.8795074090932079,0.8798253102563627,0.8791327653113673,0.8795074090932079,87.14425706863403,0.21069836616516113,2024-06-30,20000 texts down 2000
XLNet,23,210097,17121474,0.8386,0,0,0,0,0,2024-06-30,20000 texts down 2000
BERT,48,355911,28981037,0.7531735301017761,0.8808780050697625,0.7761297625883194,0.7531735194457088,21457.818471431732,562.3207032680511,2024-06-30,20000 texts down 2000
XLNet,48,355911,28981037,0.8906,0,0,0,0,0,2024-07-01,20000 texts down 2000
Naive Bayes,9,699838,46809145,0.9341692386831276,0.9353370736437255,0.9322454839076751,0.9341692386831276,0.27044034004211426,0.17425084114074707,2024-07-06,normal down 2000
SVM,9,699838,46809145,0.9749614197530864,0.9748587793055778,0.974854119726761,0.9749614197530864,9238.469361543655,1021.1636152267456,2024-07-06,normal down 2000
Random Forest,9,699838,46809145,0.9625128600823045,0.9629687677565046,0.960905794441256,0.9625128600823045,3500.068352460861,3.0327470302581787,2024-07-06,normal down 2000
KNN,9,699838,46809145,0.9400077160493827,0.9421640759537045,0.9395168981098772,0.9400077160493827,0.1539316177368164,949.6661858558655,2024-07-06,normal down 2000
LR,9,699838,46809145,0.9737139917695473,0.9735167244396981,0.9735552126571542,0.9737139917695473,34.555678367614746,0.18712782859802246,2024-07-06,normal down 2000
Naive Bayes,23,694835,46293668,0.9072716439562717,0.914528215138376,0.9043300772006994,0.9072716439562717,0.4649522304534912,0.2210702896118164,2024-07-06,normal down 2000
SVM,23,694835,46293668,0.9662711776591887,0.965967528094035,0.9659231743683174,0.9662711776591887,10578.516206502914,1746.516636133194,2024-07-06,normal down 2000
Random Forest,23,694835,46293668,0.9448085591420133,0.9463191313440027,0.941534533336112,0.9448085591420133,4063.467289686203,3.59250545501709,2024-07-07,normal down 2000
KNN,23,694835,46293668,0.9235790891663644,0.924599604247675,0.9221560031265941,0.9235790891663644,0.16057777404785156,1127.1648309230804,2024-07-07,normal down 2000
LR,23,694835,46293668,0.9637324490959017,0.9632905176798281,0.9632694641562539,0.9637324490959017,87.30044174194336,0.26128220558166504,2024-07-07,normal down 2000
BERT,23,694835,46293668,0.9730066061019897,0.97469661308783,0.973092916763549,0.9730065799699498,43255.54912471771,1196.5774838924408,2024-07-07,normal down 2000
BERT,9,699838,46809145,0.9652263522148132,0.977894477954453,0.9699863764450101,0.9652263374485597,42735.09510469437,1059.4946839809418,2024-07-08,normal down 2000
Naive Bayes,48,682134,45045854,0.8526381064214373,0.8636901616689889,0.847835134814955,0.8526381064214373,2.7696757316589355,0.8365273475646973,2024-07-09,normal down 2000
SVM,48,682134,45045854,0.911231907959838,0.912811359941559,0.9107745173889726,0.911231907959838,22003.243324756622,3120.2366709709167,2024-07-09,normal down 2000
Random Forest,48,682134,45045854,0.8940271529033024,0.8946001313405385,0.8906007444431552,0.8940271529033024,4204.685963869095,4.234289646148682,2024-07-09,normal down 2000
KNN,48,682134,45045854,0.8330980433549272,0.8429487349065828,0.8278476703245928,0.8330980433549272,0.15153813362121582,840.3309297561646,2024-07-09,normal down 2000
LR,48,682134,45045854,0.9059279880727772,0.9053832648278547,0.9049834689184689,0.9059279880727772,142.99898624420166,0.2768566608428955,2024-07-09,normal down 2000
BERT,48,682134,45045854,0.9212460517883301,0.9355435105243847,0.9253878699498316,0.9212460253585424,40528.92201638222,1054.1833400726318,2024-07-10,normal down 2000
BERT,48,682134,45045854,0.9289116263389587,0.9349897862097566,0.929791756600832,0.9289116409167073,40232.170420885086,1072.1583063602448,2024-07-11,normal down 2000
XLNet,9,699838,46809145,0.3185185194015503,0,0,0,59754.918811798096,0.020008563995361328,2024-07-12,normal down 2000
XLNet,94,380952,31449420,0.5421234369277954,0,0,0,30690.284707069397,0.020433664321899414,2024-07-12,20000 texts down 2000
